id;title;slug;feature_image;valid_from;valid_through;status;created_by;created_date;update_date;update_by
1;SCSI;support hack;sky;2022-10-06T21:20:19;2022-10-07T02:36:57;DRAFT;56799;2022-10-06T12:46:16;2022-10-06T07:53:41;31995
2;Account;Account haptic Berkshire;Licensed capacity;2022-10-06T12:01:53;2022-10-06T22:12:41;APPROVED;33295;2022-10-06T17:54:32;2022-10-06T22:50:39;59868
3;object-oriented;Garden;Integration Bacon;2022-10-06T05:00:59;2022-10-06T13:48:18;TO;1197;2022-10-07T00:48:13;2022-10-06T07:20:04;92727
4;Handcrafted;Roads;Fantastic Object-based Idaho;2022-10-06T03:42:58;2022-10-06T16:42:20;TRASHED;34047;2022-10-06T20:24:41;2022-10-06T03:03:21;71748
5;Pants;invoice hacking;Small;2022-10-06T05:26:57;2022-10-06T02:57:55;PUBLISHED;2531;2022-10-07T00:49:35;2022-10-06T06:47:09;24939
6;Cotton Ball;workforce revolutionize;ivory;2022-10-06T22:31:48;2022-10-06T09:56:57;TO;35878;2022-10-06T18:54:36;2022-10-06T08:45:28;86760
7;Tuna web-readiness Squares;Steel Account input;Handmade;2022-10-06T04:25:51;2022-10-07T01:48:53;TRASHED;80344;2022-10-06T23:06:36;2022-10-06T07:25:28;87738
8;Colorado engage bypass;calculate;Account California brand;2022-10-06T03:27:44;2022-10-06T23:46:00;DRAFT;5044;2022-10-07T02:07:25;2022-10-06T17:59:04;3649
9;infrastructures Chicken;Future Director;back payment Fresh;2022-10-06T03:19:04;2022-10-06T05:09:52;PUBLISHED;14362;2022-10-07T00:20:59;2022-10-07T01:19:45;38993
10;turn-key Central;Frozen;turn-key Designer;2022-10-06T03:56:15;2022-10-06T08:25:43;PUBLISHED;70377;2022-10-06T14:38:49;2022-10-06T05:19:24;1260
